County,District,Seats,Slate size,Built?,Nominees,Missing photos,Towns,Incumbents
Belknap,1,1,1,YES,Tom Ploszaj,,,
Belknap,2,2,2,YES,Matt Coker; Scott Wallace,,,
Belknap,3,1,1,YES,Steven Bunce,,,
Belknap,4,1,1,no,Kevin M. Nugent Jr,Kevin M. Nugent Jr,,
Belknap,5,4,4,no,Mike Bordes; Timothy Minor; Cody Pfaff; Paul Rossi,Timothy Minor,,
Belknap,6,4,4,no,Glen Aldrich; Priscilla M. Bean; Colleen M. Harkey; Jade Wood,Priscilla M. Bean,,
Belknap,7,3,3,no,Barbara Comtois; Paul A. Terry; Peter R. Varney,Barbara Comtois; Peter R. Varney,,
Belknap,8,2,2,YES,Lisa M. Freeman; Cameron Thompson,,,
Carroll,1,3,3,no,Gregory T. Corrigan; Robert W. Nelson; Karen C. Umberger,Gregory T. Corrigan; Karen C. Umberger,,
Carroll,2,2,2,YES,Erlon Jones; Jennifer LePla,,,
Carroll,3,2,2,no,Richard R. Brown; Karel A. Crawford,Richard R. Brown,,
Carroll,4,2,2,no,Lino M. Avellani; Mike Belcher,Lino M. Avellani,,
Carroll,5,1,1,no,Steven Brown,Steven Brown,,
Carroll,6,2,2,YES,Tim Bauman; John T. MacDonald,,,
Carroll,7,1,1,YES,Dale Fincher,,,
Carroll,8,2,2,YES,Tammy Garthwaite; Colin Mitchell,,,
Cheshire,1,1,1,no,Timothy J. Donovan,Timothy J. Donovan,,
Cheshire,3,1,1,no,Marissa W. Salisbury,Marissa W. Salisbury,,
Cheshire,4,1,1,YES,Robert Johnson,,,
Cheshire,5,1,1,no,William J. Sommer,William J. Sommer,,
Cheshire,6,2,2,no,Sean Graves; Zachary Nutting,Sean Graves; Zachary Nutting,,
Cheshire,7,1,1,no,Jonathan Liptak,Jonathan Liptak,,
Cheshire,9,1,1,YES,Rich Nalevanko,,,
Cheshire,10,2,2,YES,Sly Karasinski; Michael Ralph York,,,
Cheshire,11,1,1,YES,Denis Vincent Murphy,,,
Cheshire,12,1,1,YES,Dick Thackston,,,
Cheshire,13,1,1,YES,Matthew Santonastaso,,,
Cheshire,14,1,1,YES,John B. Hunt,,,
Cheshire,15,2,2,no,Matthew Roach; Becky Shields,Matthew Roach,,
Cheshire,16,1,1,YES,Alexander Nalevanko,,,
Cheshire,17,1,1,no,Jennifer Rhodes,Jennifer Rhodes,,
Cheshire,18,2,2,YES,Rita Mattson; Jim Qualey,,,
Coos,1,2,2,YES,Sam Hoehn; Amy Norris,,,
Coos,2,1,1,no,Arnold G. Davis,Arnold G. Davis,,
Coos,3,1,1,no,Mike Ouellet,Mike Ouellet,,
Coos,4,1,1,YES,Seth King,,,
Coos,5,2,2,YES,Mark Evans; Peter Morency,,,
Coos,6,1,1,YES,Robert Gargano,,,
Coos,7,1,1,YES,Lori Korzen,,,
Grafton,1,3,3,no,Joseph Barton; Calvin Beaulier; Andrew Dorsett,Andrew Dorsett,,
Grafton,3,1,1,no,Bonnie Ham,Bonnie Ham,,
Grafton,4,1,1,YES,David Adams Rardin,,,
Grafton,5,2,2,no,Marie Louise Bjelobrk; Greg Mathieson,Marie Louise Bjelobrk; Greg Mathieson,,
Grafton,6,1,1,no,Linda Franz,Linda Franz,,
Grafton,7,1,1,no,Jon A. Gablinske,Jon A. Gablinske,,
Grafton,8,3,1,no,George Kirk,George Kirk,,
Grafton,9,1,1,YES,Bradley Macrae,,,
Grafton,10,1,1,YES,Steven Pihl Coffill,,,
Grafton,11,1,1,YES,Jake Abuhav,,,
Grafton,18,1,1,YES,Donald McFarlane,,,
Hillsborough,1,4,4,YES,Deborah Kruzel; Tom Mannion; Diane Rogers; Jeffrey F. Tenczar,,,
Hillsborough,2,7,7,no,Matthew Castanien; Phil Greazzo; Peter M. Kujawski; Brian Labrie; Pat MacMonagle; Kristin Noble; John Schneller,Phil Greazzo; Pat MacMonagle; Kristin Noble; John Schneller,,
Hillsborough,3,3,1,no,John Menyhard,John Menyhard,,
Hillsborough,4,3,1,YES,Shawn Martin,,,
Hillsborough,5,3,1,no,Paul Schibbelhute,Paul Schibbelhute,,
Hillsborough,6,3,3,no,Doris Hohensee; Elena Pavlou; Daniel Richardson,Doris Hohensee,,
Hillsborough,7,3,2,no,Avalon Lewis; Roy H. Parker,Avalon Lewis; Roy H. Parker,,
Hillsborough,8,3,1,YES,Travis Tripodi,,,
Hillsborough,9,3,1,no,Joseph Cole,Joseph Cole,,
Hillsborough,10,3,1,no,Bill Ohm,Bill Ohm,,
Hillsborough,11,3,1,no,Kristie Hart,Kristie Hart,,
Hillsborough,12,8,8,no,Kevin Ballantine; Bill Boyd; Julie Miles; Maureen Mooney; Jeanine Notter; Adam Presa; Wolfram von Schoen; Kevin Southwick,Kevin Ballantine; Bill Boyd; Kevin Southwick,,
Hillsborough,13,6,6,no,Dillon Dumont; Cathy Kenny; Andrew Prout; Tom Trost; Jordan Ulery; Bob Wherry,Cathy Kenny; Andrew Prout; Jordan Ulery; Bob Wherry,,
Hillsborough,14,2,2,no,Rich Lascelles; Raymond C. Peeples Jr,Rich Lascelles; Raymond C. Peeples Jr,,
Hillsborough,15,2,2,no,Mark McLean; Mark Proulx,Mark McLean; Mark Proulx,,
Hillsborough,16,2,2,YES,David A. Smith; Michael J. Tkacz,,,
Hillsborough,17,2,1,YES,Ben Prescott,,,
Hillsborough,18,2,1,YES,Steven Kesselring,,,
Hillsborough,19,2,2,YES,Matt Drew; Mickey Mullin,,,
Hillsborough,20,2,2,YES,Pierre M. Dupont; Jose R. Marte,,,
Hillsborough,21,2,1,YES,Chris Morgan,,,
